gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,MultipleLines_No phone service,MultipleLines_Yes
1,-0.43991649313097614,1,1,-0.7888002190384014,1,1,-0.4922805219681379,587.45,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
1,-0.43991649313097614,0,0,-0.6666391278783103,1,0,-1.5225946620711341,326.8,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,False,False
1,-0.43991649313097614,1,0,1.0436161483629645,1,0,1.182810854199314,5681.1,True,False,False,False,False,False,False,True,False,False,False,True,False,True,True,False,True,False,False,False,True
1,-0.43991649313097614,0,0,0.6771328748826912,1,1,1.2941512532104444,5036.3,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True
1,-0.43991649313097614,0,0,-0.30015585439803716,1,1,1.3539759452164248,2686.05,True,False,False,True,False,False,False,True,False,True,False,True,False,True,False,False,False,True,False,False,False
0,-0.43991649313097614,1,1,1.4915401492832983,1,0,1.611554480242174,7895.15,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,False,True
0,-0.43991649313097614,0,0,0.7992939660427822,1,0,-1.4660935640654862,1022.95,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,False
1,-0.43991649313097614,0,1,1.5729808767233588,1,0,1.393859073220412,7382.25,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,False,True
0,-0.43991649313097614,1,1,-0.9109613101984924,1,0,-0.31779183695069496,528.35,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False
0,-0.43991649313097614,0,0,-0.46303730927815856,1,1,0.8404806721650927,1862.9,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False
1,2.273158691738958,0,0,-1.2774445836787656,0,1,-0.8346107040023594,39.65,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False
1,-0.43991649313097614,1,0,-0.8295205827584317,1,0,-1.4943441130683104,202.25,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False
1,-0.43991649313097614,0,0,-1.2774445836787656,1,0,-1.4827115340671475,20.15,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,False,False
0,-0.43991649313097614,1,0,1.0436161483629645,1,1,-0.1615829189350795,3505.1,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False,False,True
1,-0.43991649313097614,1,1,0.6771328748826912,1,0,-0.17155370093607614,2970.3,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
0,-0.43991649313097614,0,0,-0.0965540357978854,1,1,-0.31446824295036285,1530.6,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,-0.43991649313097614,1,1,0.5956921474426305,1,1,1.1495749141959914,4749.15,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True
1,-0.43991649313097614,1,1,-1.2774445836787656,0,0,-1.1486903370337564,30.2,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
1,-0.43991649313097614,1,0,1.6137012404433893,1,1,0.8471278601657574,6369.45,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,False,True
0,-0.43991649313097614,0,1,-0.62591876415828,1,1,-0.0020504069191315333,1093.1,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False
0,2.273158691738958,1,0,1.5729808767233588,1,1,1.0498670941860242,6766.95,True,False,False,True,False,True,False,True,False,True,False,False,False,False,False,True,True,False,False,False,True
1,2.273158691738958,1,0,-1.2367242199587352,1,1,1.0216165451832002,181.65,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False
0,-0.43991649313097614,1,1,-0.21871512695797646,1,0,0.046141706085686136,1874.45,False,False,False,True,False,True,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False
1,-0.43991649313097614,0,0,-1.2774445836787656,1,0,-1.481049737066981,20.2,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,False,False
1,2.273158691738958,0,0,-1.2774445836787656,1,0,-0.6484894399837535,45.25,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0,-0.43991649313097614,1,1,1.6137012404433893,1,0,1.1678546811978192,7251.7,True,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True
1,-0.43991649313097614,0,0,-1.1145631287986442,1,1,0.16412929309748078,316.9,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
0,-0.43991649313097614,0,0,0.5549717837226001,1,1,0.33363258711442517,3548.3,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
1,-0.43991649313097614,0,0,0.06632741908223598,1,1,1.3822264942192488,3549.25,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True
0,-0.43991649313097614,0,0,-0.8702409464784621,1,1,1.099721004191008,1105.4,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True
1,-0.43991649313097614,1,1,-0.9109613101984924,1,0,-0.5055748979694671,475.7,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
0,-0.43991649313097614,1,1,1.5322605130033284,1,1,0.14751132309581955,4872.35,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,True,False,False,False,True
0,-0.43991649313097614,1,1,-0.62591876415828,1,0,-1.462769970065154,418.25,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,False
0,-0.43991649313097614,0,0,1.247217966963116,1,1,0.5014740841312035,4861.45,False,False,False,True,False,True,False,True,False,True,False,True,False,False,False,True,True,False,False,False,True
0,-0.43991649313097614,1,0,-0.7888002190384014,1,1,0.3801629031190768,981.45,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True
0,-0.43991649313097614,0,0,0.6771328748826912,1,1,0.6560212051466532,3906.7,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True
1,-0.43991649313097614,0,0,-1.2367242199587352,1,0,-0.5155456799704636,97.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
0,-0.43991649313097614,0,0,-1.2367242199587352,1,1,0.5280628361338618,144.15,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
1,-0.43991649313097614,0,0,0.7992939660427822,1,1,0.4981504901308714,4217.8,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False,True,True,False,False,False,True
0,-0.43991649313097614,1,1,1.4915401492832983,1,1,-0.020330173920958795,4254.1,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,True,False,False,False,True
0,2.273158691738958,0,0,0.43281069256250915,1,1,0.8471278601657574,3838.75,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True
0,-0.43991649313097614,0,0,-0.7073594915983407,1,1,1.141265929195161,1426.4,True,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False
0,2.273158691738958,1,0,-0.30015585439803716,1,1,0.1574821050968162,1752.65,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True
0,2.273158691738958,1,0,-0.9924020376385531,1,1,0.5280628361338618,633.3,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
0,2.273158691738958,1,1,1.125056875803025,1,1,0.33529438411459117,4456.35,False,False,False,True,False,True,False,True,False,True,False,False,False,True,True,False,True,False,False,False,False
1,2.273158691738958,0,0,-0.5851984004382496,1,1,1.0199547481830342,1752.55,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True
0,-0.43991649313097614,1,1,1.247217966963116,1,1,1.1595456961969886,6311.2,True,False,False,True,False,False,False,False,False,False,False,True,False,True,True,False,True,False,False,False,True
1,2.273158691738958,1,1,1.369379058123207,1,1,1.4520219682262263,7076.35,True,False,False,False,False,True,False,True,False,True,False,True,False,True,True,False,False,True,False,False,True
0,-0.43991649313097614,1,1,0.06632741908223598,1,0,-1.3231790220511994,894.3,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,False,True
0,-0.43991649313097614,0,0,1.6137012404433893,1,1,1.42044782522307,7853.7,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,True,True,False,False,False,True
0,-0.43991649313097614,1,0,0.5956921474426305,1,1,1.1877962451998125,4707.1,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True
1,-0.43991649313097614,0,0,1.125056875803025,1,1,0.8354952811645946,5450.7,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
1,-0.43991649313097614,1,0,1.6137012404433893,0,0,-0.7531826509942192,2962.0,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False
0,-0.43991649313097614,1,1,-0.5851984004382496,1,1,-0.34438058895335305,957.1,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False,False,False
0,-0.43991649313097614,0,0,-0.9516816739185228,1,0,0.9850570111795457,857.25,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True
0,-0.43991649313097614,0,0,-1.1960038562387048,1,1,0.3502505571160864,244.1,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,True,False,False,False
1,-0.43991649313097614,1,0,0.5956921474426305,1,1,0.46989994112804756,3650.35,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True
0,-0.43991649313097614,0,0,-0.055833672077855064,1,0,0.47987072312904416,2497.2,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False
0,-0.43991649313097614,1,1,0.7178532386027215,1,0,-1.4827115340671475,930.9,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,False,False
1,-0.43991649313097614,0,0,-0.9109613101984924,1,1,0.5014740841312035,887.35,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
1,-0.43991649313097614,0,0,-1.2774445836787656,1,0,-0.5221928679711283,49.05,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
0,-0.43991649313097614,1,1,0.7992939660427822,1,1,-1.4744025490663168,1090.65,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False
1,2.273158691738958,1,1,1.2879383306831464,1,1,1.5567151792366918,7099.0,True,False,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True
1,-0.43991649313097614,1,1,1.2064976032430856,1,1,-1.3464441800535252,1424.6,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,False,True
0,-0.43991649313097614,0,1,-1.1960038562387048,1,1,-0.00869759491979612,177.4,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False
0,2.273158691738958,0,0,0.9621754209229036,1,0,1.5201556452330371,6139.5,True,False,False,True,False,True,False,True,False,False,False,True,False,True,True,False,False,True,False,False,True
0,-0.43991649313097614,0,0,0.5549717837226001,1,0,-0.3028356639492,2688.85,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False
0,-0.43991649313097614,1,1,-0.9924020376385531,1,0,-0.33607160395252245,482.25,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
1,2.273158691738958,0,0,-0.0965540357978854,1,1,0.3319707901142591,2111.3,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False
0,-0.43991649313097614,1,1,0.5142514200025698,1,1,-1.2916048790480432,1216.6,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True
0,-0.43991649313097614,0,1,-1.2774445836787656,1,1,0.48485611412954227,79.35,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
0,-0.43991649313097614,1,1,-0.8702409464784621,0,0,-0.47233895796614456,565.35,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False
0,-0.43991649313097614,1,0,-1.0331224013585834,1,1,0.34526516611558833,496.9,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
0,-0.43991649313097614,0,0,0.3920903288424788,1,1,1.2974748472107767,4327.5,True,False,False,False,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,False
0,-0.43991649313097614,1,0,0.6771328748826912,1,1,-1.4827115340671475,973.35,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,False,False
1,-0.43991649313097614,0,0,-0.9516816739185228,1,1,1.1479131171958254,918.75,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True
0,-0.43991649313097614,1,0,0.10704778280226633,1,1,-0.08680205392760396,2215.45,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False
0,-0.43991649313097614,1,1,0.6364125111626608,1,0,-1.4660935640654862,1057.0,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,False,False
0,-0.43991649313097614,1,1,0.5549717837226001,1,1,-1.4893587220678117,927.1,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True,False,False
1,-0.43991649313097614,1,0,-0.13727439951791576,0,0,-1.0307027500219619,1009.25,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False
1,-0.43991649313097614,1,1,-0.0965540357978854,1,0,0.574593152138513,2570.2,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
1,2.273158691738958,0,0,-1.2774445836787656,1,0,0.3303089931140931,74.7,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
1,-0.43991649313097614,1,1,1.369379058123207,1,1,0.6394032351449919,5714.25,False,False,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,False,True,False,True
0,-0.43991649313097614,0,0,1.3286586944031769,1,1,1.5384354122348645,7107.0,True,False,False,True,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False,False,True
1,-0.43991649313097614,0,0,1.6137012404433893,1,1,1.2010906212011416,7459.05,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,True,False,False,False,False,True
0,-0.43991649313097614,0,0,-0.8295205827584317,1,1,0.47156173812821356,927.35,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
1,-0.43991649313097614,1,1,1.5729808767233588,1,1,0.06940686408801149,4748.7,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True
1,-0.43991649313097614,0,0,-1.1145631287986442,1,0,-1.4527991880641573,113.85,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,False,False
1,-0.43991649313097614,0,0,0.7992939660427822,1,0,-1.4544609850643233,1107.2,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,False,False
0,2.273158691738958,1,0,-0.30015585439803716,1,1,1.1213243651931677,2514.5,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False
1,-0.43991649313097614,0,0,-1.2774445836787656,1,0,-1.481049737066981,20.2,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,False,False
0,-0.43991649313097614,1,1,-1.2774445836787656,1,0,-1.505976692069473,19.45,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,False,False,False
1,-0.43991649313097614,0,0,0.22920887396235737,1,0,1.0049985751815391,3605.6,True,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False,False,False,False,True
0,2.273158691738958,1,0,1.369379058123207,0,0,-0.6385186579827569,3027.25,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False
1,-0.43991649313097614,1,0,1.4508197855632678,1,1,1.503537675231376,7611.85,True,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True
1,-0.43991649313097614,0,0,-1.1145631287986442,0,0,-1.3447823830533592,100.2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False
0,-0.43991649313097614,1,1,1.6137012404433893,1,1,1.3091074262119398,7303.05,True,False,False,True,False,True,False,False,False,False,False,True,False,True,True,False,False,True,False,False,True
0,-0.43991649313097614,0,0,-0.015113308357824713,0,0,-1.150352134033923,927.65,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False
1,-0.43991649313097614,0,0,0.43281069256250915,1,0,0.9833952141793793,3921.3,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,True,False,True
1,-0.43991649313097614,1,1,1.6137012404433893,1,0,-1.5076384890696393,1363.25,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,False,False
1,-0.43991649313097614,1,0,0.9214550572028734,1,1,1.0631614701873533,5238.9,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True
0,-0.43991649313097614,0,0,0.7992939660427822,1,0,-0.22639300194155818,3042.25,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False,False,False
0,-0.43991649313097614,0,0,0.43281069256250915,1,1,0.893658176170409,3954.1,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False
0,2.273158691738958,1,0,0.18848851024232702,1,1,0.39013368512007346,2868.15,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
0,-0.43991649313097614,1,1,1.2879383306831464,0,1,-0.33773340095268845,3423.5,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False
1,-0.43991649313097614,1,1,-1.1960038562387048,1,0,0.8338334841644282,248.4,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
0,-0.43991649313097614,0,0,0.14776814652229667,0,0,-1.1204397880309327,1126.35,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
0,-0.43991649313097614,1,1,-0.9109613101984924,1,1,1.1794872601989819,1064.65,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True
0,-0.43991649313097614,0,0,0.35136996512244845,1,0,-1.4660935640654862,835.15,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True,False,False
1,-0.43991649313097614,1,1,-0.21871512695797646,1,1,0.6792863631489789,2151.6,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True
0,-0.43991649313097614,1,1,0.9621754209229036,1,1,1.1645310871974868,5515.45,True,False,False,False,False,False,False,True,False,False,False,True,False,True,True,False,True,False,False,False,True
0,-0.43991649313097614,0,0,-1.0738427650786138,1,0,-1.46443176706532,112.75,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,False,False
1,-0.43991649313097614,0,0,-1.1960038562387048,1,1,0.32033821111309646,229.55,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
0,-0.43991649313097614,1,1,-1.0331224013585834,1,0,-0.467353566965646,350.35,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
0,-0.43991649313097614,1,1,-1.1552834925186746,1,0,-1.4594463760648215,62.9,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,False,False
1,-0.43991649313097614,0,0,0.025607055362205634,1,1,0.8039211381614382,3027.65,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False
0,2.273158691738958,0,0,-0.21871512695797646,1,1,0.44164939212522314,2135.5,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True
1,-0.43991649313097614,1,0,1.6137012404433893,1,1,-1.3697093380558512,1723.95,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,False,True
1,-0.43991649313097614,0,0,-1.2774445836787656,1,0,-1.4960059100684764,19.75,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,False,False
1,2.273158691738958,0,0,1.5729808767233588,0,1,-0.2762469119465419,3985.35,False,False,False,True,False,True,False,False,False,False,False,True,False,True,True,False,False,True,False,True,False
0,-0.43991649313097614,0,0,-0.7888002190384014,1,1,0.7042133181514708,1215.65,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True
0,-0.43991649313097614,1,1,-0.30015585439803716,0,1,-0.2047896409393986,1502.65,False,False,False,True,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False
1,-0.43991649313097614,0,0,1.4100994218432374,1,0,-0.47233895796614456,3260.1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
1,-0.43991649313097614,0,0,-1.2774445836787656,0,1,-0.9742016520163136,35.45,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False
1,-0.43991649313097614,0,0,-1.2367242199587352,1,0,-0.6784017859867437,81.25,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
0,-0.43991649313097614,0,0,0.43281069256250915,1,1,-1.2982520670487077,1188.2,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,False,True
0,-0.43991649313097614,0,0,-0.38159658183809786,1,1,0.3402797751150897,1778.5,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0,-0.43991649313097614,1,1,1.2879383306831464,1,0,-1.481049737066981,1277.75,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True,False,False
1,-0.43991649313097614,0,1,1.002895784642934,1,1,-1.5009913010689746,1170.55,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True,False,False
0,2.273158691738958,1,0,-1.2774445836787656,1,1,0.18905624809997262,70.45,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
0,2.273158691738958,1,1,1.6137012404433893,1,1,0.7740087921584478,6425.65,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,False,True
0,-0.43991649313097614,0,0,-0.9924020376385531,1,0,0.21232140610229844,563.65,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True
0,-0.43991649313097614,1,0,1.1657772395230555,1,1,1.2060760122016398,5971.25,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False,False,False,False,True
1,-0.43991649313097614,0,0,1.2879383306831464,1,1,0.6493740171459885,5289.05,True,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True
1,2.273158691738958,1,0,1.5729808767233588,1,0,-1.3564149620545218,1756.2,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,False,True
0,-0.43991649313097614,1,1,1.3286586944031769,1,1,1.1396041321949948,6416.7,True,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,True,False,False,False,True
1,-0.43991649313097614,0,0,-1.1960038562387048,1,0,-1.5009913010689746,61.35,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,False
1,-0.43991649313097614,0,0,-1.2774445836787656,1,1,-0.6351950639824246,45.65,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
1,-0.43991649313097614,0,1,-0.0965540357978854,1,0,-0.00869759491979612,1929.95,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False
1,-0.43991649313097614,1,1,-0.7073594915983407,1,1,0.1574821050968162,1071.4,False,False,False,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False
0,-0.43991649313097614,1,1,-0.9924020376385531,1,1,0.12590796209365976,564.35,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,True,False,False,False
1,-0.43991649313097614,0,0,-1.0331224013585834,1,0,1.0049985751815391,655.5,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,True
0,-0.43991649313097614,1,1,1.5322605130033284,1,1,1.4420511862252297,7930.55,True,False,False,True,False,True,False,True,False,False,False,True,False,True,True,False,True,False,False,False,True
1,-0.43991649313097614,1,1,1.2064976032430856,1,0,0.7091987091519689,5215.25,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False
0,-0.43991649313097614,1,1,-1.0738427650786138,1,0,-1.4976677070686424,113.5,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,False,False
0,-0.43991649313097614,1,1,-0.748079855318371,1,1,0.5363718211346925,1152.8,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
0,-0.43991649313097614,0,0,-0.4223169455581282,1,1,0.6443886261454905,1821.95,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
